Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    122.95     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::difference_type __gnu_cxx::operator-<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&)
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::AppArgs::GetCfgFilename() const
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::AppArgs::GetMapFilename() const
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::GetSize() const
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::BmpFile::GetArray() const
  0.00    122.95     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_check_len(unsigned long, char const*) const
  0.00    122.95     0.00        1     0.00     0.00  std::allocator<unsigned int>::allocator()
  0.00    122.95     0.00        1     0.00     0.00  std::allocator<unsigned int>::~allocator()
  0.00    122.95     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_allocate(unsigned long)
  0.00    122.95     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::_Vector_impl()
  0.00    122.95     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::~_Vector_impl()
  0.00    122.95     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_base()
  0.00    122.95     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::~_Vector_base()
  0.00    122.95     0.00        1     0.00     0.00  void std::__uninitialized_fill_n<true>::uninitialized_fill_n<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&)
  0.00    122.95     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned long, unsigned int const&)
  0.00    122.95     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_erase_at_end(unsigned int*)
  0.00    122.95     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::end()
  0.00    122.95     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::begin()
  0.00    122.95     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::clear()
  0.00    122.95     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::insert(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned long, unsigned int const&)
  0.00    122.95     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::resize(unsigned long, unsigned int)
  0.00    122.95     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::vector()
  0.00    122.95     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::~vector()
  0.00    122.95     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<unsigned int>::__value, unsigned int*>::__type std::__fill_n_a<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&)
  0.00    122.95     0.00        1     0.00     0.00  void std::uninitialized_fill_n<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&)
  0.00    122.95     0.00        1     0.00     0.00  void std::__uninitialized_fill_n_a<unsigned int*, unsigned long, unsigned int, unsigned int>(unsigned int*, unsigned long, unsigned int const&, std::allocator<unsigned int>&)
  0.00    122.95     0.00        1     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00    122.95     0.00        1     0.00     0.00  unsigned int* std::fill_n<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.01% of 122.95 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00  122.94                 main [1]
               59.65   56.11    1250/1250        PsCourseworkI::Landscape::Update() [2]
                0.00    5.60       1/1           PsCourseworkI::Landscape::Landscape(PsCourseworkI::AppConfig const&) [6]
                1.24    0.00    1251/1251        PsCourseworkI::AppConfig::GetTT() const [15]
                0.09    0.13      13/13          PsCourseworkI::LandscapePpmWriter::Write(std::string const&) [17]
                0.03    0.02       1/1           PsCourseworkI::Landscape::ApplyRandomHares() [20]
                0.02    0.02       1/1           PsCourseworkI::Landscape::ApplyRandomPumas() [25]
                0.00    0.03       1/1           PsCourseworkI::Landscape::ApplyLandWaterMask(PsCourseworkI::Array2D<unsigned int> const&) [26]
                0.00    0.00    1250/1600001250     PsCourseworkI::AppConfig::Getdt() const [5]
                0.00    0.00    1250/1250        PsCourseworkI::AppConfig::GetT() const [43]
                0.00    0.00      13/37          std::operator|(std::_Ios_Openmode, std::_Ios_Openmode) [46]
