Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      8.32     0.00        2     0.00     0.00  void std::uninitialized_fill_n<PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell>(PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell const&)
  0.00      8.32     0.00        2     0.00     0.00  unsigned int* std::__uninitialized_copy_a<unsigned int*, unsigned int*, unsigned int>(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      8.32     0.00        2     0.00     0.00  unsigned int* std::__uninitialized_move_a<unsigned int*, unsigned int*, std::allocator<unsigned int> >(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      8.32     0.00        2     0.00     0.00  void std::__uninitialized_fill_n_a<PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell, PsCourseworkI::Cell>(PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell const&, std::allocator<PsCourseworkI::Cell>&)
  0.00      8.32     0.00        2     0.00     0.00  unsigned int* std::copy<unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      8.32     0.00        2     0.00     0.00  void std::_Destroy<PsCourseworkI::Cell*>(PsCourseworkI::Cell*, PsCourseworkI::Cell*)
  0.00      8.32     0.00        2     0.00     0.00  void std::_Destroy<PsCourseworkI::Cell*, PsCourseworkI::Cell>(PsCourseworkI::Cell*, PsCourseworkI::Cell*, std::allocator<PsCourseworkI::Cell>&)
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI18LandscapePpmWriterC2ERNS_9LandscapeE
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI4CellC2Ev
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI7AppArgsC2EiPPc
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI7BmpFileC2ESs
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI7PpmFileC2ERKSsRKNS_4SizeEj
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI9AppConfigC2ERKSs
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI9LandscapeC2ERKNS_9AppConfigE
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to main
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::LandscapePpmWriter::LandscapePpmWriter(PsCourseworkI::Landscape&)
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::Cell::Cell(bool, double, double)
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::Size::operator=(PsCourseworkI::Size const&)
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::AppArgs::AppArgs(int, char**)
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::AppArgs::~AppArgs()
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::Resize(PsCourseworkI::Size const&)
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::Array2D()
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::~Array2D()
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::BmpFile::BmpFile(std::string)
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::BmpFile::~BmpFile()
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::AppConfig::Print()
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::AppConfig::AppConfig(std::string const&)
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::AppConfig::~AppConfig()
  0.00      8.32     0.00        1     0.00     1.68  PsCourseworkI::Landscape::ApplyRandomHares()
  0.00      8.32     0.00        1     0.00     1.68  PsCourseworkI::Landscape::ApplyRandomPumas()
  0.00      8.32     0.00        1     0.00     0.84  PsCourseworkI::Landscape::ApplyLandWaterMask(PsCourseworkI::Array2D<unsigned int> const&)
  0.00      8.32     0.00        1     0.00     0.02  PsCourseworkI::Landscape::InitHalos()
  0.00      8.32     0.00        1     0.00   320.13  PsCourseworkI::Landscape::Landscape(PsCourseworkI::AppConfig const&)
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::Landscape::~Landscape()
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::operator==(PsCourseworkI::Size const&, PsCourseworkI::Size const&)
  0.00      8.32     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long)
  0.00      8.32     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::allocate(unsigned long, void const*)
  0.00      8.32     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::new_allocator()
  0.00      8.32     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::~new_allocator()
  0.00      8.32     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::difference_type __gnu_cxx::operator-<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&)
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::AppArgs::GetCfgFilename() const
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::AppArgs::GetMapFilename() const
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::GetSize() const
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::BmpFile::GetArray() const
  0.00      8.32     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_check_len(unsigned long, char const*) const
  0.00      8.32     0.00        1     0.00     0.00  std::allocator<unsigned int>::allocator()
  0.00      8.32     0.00        1     0.00     0.00  std::allocator<unsigned int>::~allocator()
  0.00      8.32     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_allocate(unsigned long)
  0.00      8.32     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::_Vector_impl()
  0.00      8.32     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::~_Vector_impl()
  0.00      8.32     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_base()
